Excluded Feature,Remaining Feature
Ind. 14.1.1.9,Ind. 14.1.1.5
Ind. 12.4.2.17,Ind. 3.8.2.2
Ind. 10.3.1.1,Ind. 16.1.3.3
Ind. 11.4.1.4,Ind. 4.5.1.5
Ind. 5.6.2.6,Ind. 12.4.2.14
Ind. 6.6.1.25,Ind. 12.5.1.1
Ind. 16.7.1.3,Ind. 12.4.2.12
Ind. 1.4.2.2,Ind. 4.5.1.8
Ind. 11.2.1.1,Ind. 16.3.1.3
Ind. 5.6.2.15,Ind. 12.4.2.15
Ind. 10.7.1.1,Ind. 9.c.1.3
Ind. 5.6.2.7,Ind. 12.4.2.15
Ind. 10.7.1.1,Ind. 17.13.1.16
Ind. 11.4.1.3,Ind. 5.6.2.18
Ind. 12.4.2.16,Ind. 16.1.3.3
Ind. 2.3.1.2,Ind. 14.6.1.1
Ind. 2.3.1.1,Ind. 5.6.2.1
Ind. 14.1.1.9,Ind. 6.6.1.2
Ind. 2.3.1.1,Ind. 5.6.2.18
Ind. 12.4.2.17,Ind. 6.6.1.16
Ind. 17.15.1.2,Ind. 13.2.2.1
Ind. 14.1.1.9,Ind. 6.6.1.7
Ind. 14.1.1.9,Ind. 1.5.1.3
Ind. 16.7.1.3,Ind. 4.1.2.1
Ind. 4.5.1.3,Ind. 4.7.1.2
Ind. 14.1.1.9,Ind. 7.b.1.1
Ind. 1.4.2.2,Ind. 16.3.1.3
Ind. 14.1.1.9,Ind. 8.a.1.1
Ind. 11.4.1.5,Ind. 7.a.1.1
Ind. 2.b.1.1,Ind. 5.1.1.1
Ind. 10.7.1.1,Ind. 4.1.2.1
Ind. 17.15.1.4,Ind. 16.3.1.3
Ind. 2.b.1.1,Ind. 5.6.2.14
Ind. 14.1.1.9,Ind. 17.3.1.1
Ind. 14.1.1.9,Ind. 17.8.1.1
Ind. 6.5.2.2,Ind. 17.15.1.1
Ind. 12.1.1.2,Ind. 16.3.1.3
Ind. 10.7.1.1,Ind. 4.b.1.1
Ind. 16.7.1.4,Ind. 10.c.1.1
Ind. 14.1.1.9,Ind. 3.3.2.1
Ind. 11.4.1.1,Ind. 6.6.1.20
Ind. 2.3.2.2,Ind. 6.3.1.2
Ind. 1.4.2.1,Ind. 4.a.1.7
Ind. 3.8.2.2,Ind. 5.6.2.3
Ind. 16.7.1.4,Ind. 6.3.2.4
Ind. 14.6.1.1,Ind. 12.4.2.16
Ind. 10.7.1.1,Ind. 9.1.2.1
Ind. 5.6.2.10,Ind. 12.4.2.15
Ind. 12.4.2.17,Ind. 1.3.1.3
Ind. 15.6.1.4,Ind. 4.2.2.1
Ind. 5.6.2.13,Ind. 16.3.1.3
Ind. 6.6.1.24,Ind. 2.c.1.2
Ind. 16.7.1.4,Ind. 1.5.1.5
Ind. 17.2.1.9,Ind. 16.5.1.1
Ind. 1.2.2.4,Ind. 1.3.1.11
Ind. 1.4.2.1,Ind. 16.5.1.1
Ind. 8.8.1.1,Ind. 5.6.2.1
Ind. 12.4.2.17,Ind. 6.6.1.11
Ind. 5.a.1.1,Ind. 4.7.1.1
Ind. 12.4.2.15,Ind. 16.4.2.1
Ind. 16.1.4.1,Ind. 1.4.2.2
Ind. 16.7.1.4,Ind. 11.6.2.1
Ind. 5.6.2.4,Ind. 8.8.1.2
Ind. 15.6.1.4,Ind. 16.2.2.1
Ind. 10.7.1.1,Ind. 10.c.1.1
Ind. 5.6.2.14,Ind. 12.5.1.1
Ind. 14.1.1.9,Ind. 17.7.1.1
Ind. 11.2.1.1,Ind. 4.5.1.7
Ind. 5.6.2.6,Ind. 12.5.1.1
Ind. 6.5.2.2,Ind. 17.15.1.4
Ind. 11.4.1.4,Ind. 1.3.1.11
Ind. 10.3.1.1,Ind. 15.3.1.1
Ind. 3.8.2.1,Ind. 5.a.2.1
Ind. 16.1.3.2,Ind. 15.3.1.1
Ind. 5.6.2.13,Ind. 12.4.2.14
Ind. 10.7.1.1,Ind. 15.6.1.3
Ind. 12.4.2.14,Ind. 5.6.2.5
Ind. 15.6.1.4,Ind. 3.d.1.1
Ind. 5.6.2.17,Ind. 16.3.1.3
Ind. 5.6.2.9,Ind. 16.3.1.3
Ind. 1.2.2.4,Ind. 1.3.1.5
Ind. 16.7.1.4,Ind. 1.5.1.8
Ind. 12.4.2.17,Ind. 6.5.2.1
Ind. 14.1.1.9,Ind. 6.6.1.19
Ind. 17.15.1.1,Ind. 13.2.2.1
Ind. 14.1.1.9,Ind. 6.6.1.6
Ind. 5.6.2.18,Ind. 10.1.1.1
Ind. 4.5.1.3,Ind. 4.7.1.1
Ind. 10.7.1.1,Ind. 3.b.1.3
Ind. 15.6.1.4,Ind. 16.1.1.2
Ind. 11.2.1.1,Ind. 4.1.1.1
Ind. 17.15.1.3,Ind. 16.3.1.3
Ind. 2.b.1.1,Ind. 5.6.2.13
Ind. 10.7.1.1,Ind. 4.5.1.2
Ind. 2.3.2.2,Ind. 5.6.2.1
Ind. 1.3.1.10,Ind. 5.6.2.1
Ind. 12.4.2.10,Ind. 5.a.2.1
Ind. 6.5.2.1,Ind. 17.15.1.1
Ind. 2.3.2.2,Ind. 5.6.2.18
Ind. 1.3.1.10,Ind. 5.6.2.18
Ind. 14.1.1.9,Ind. 1.4.1.1
Ind. 16.7.1.3,Ind. 10.c.1.1
Ind. 10.4.2.1,Ind. 12.5.1.1
Ind. 3.8.2.1,Ind. 5.6.2.7
Ind. 5.6.2.12,Ind. 12.4.2.7
Ind. 10.7.1.1,Ind. 15.1.1.3
Ind. 6.3.2.4,Ind. 12.4.2.13
Ind. 2.3.1.2,Ind. 6.6.1.20
Ind. 5.6.2.4,Ind. 12.4.2.7
Ind. 10.7.1.1,Ind. 15.4.1.1
Ind. 1.2.2.4,Ind. 6.6.1.20
Ind. 16.3.1.2,Ind. 5.6.2.3
Ind. 5.6.2.9,Ind. 12.4.2.14
Ind. 16.7.1.4,Ind. 6.5.2.1
Ind. 12.4.2.17,Ind. 12.5.1.1
Ind. 5.6.2.12,Ind. 16.3.1.3
